net,length_um
net3041,7.64µm
net3244,7.64µm
_01414_,7.62µm
_03767_,7.62µm
_04529_,7.62µm
_09294_,7.62µm
_01767_,7.605µm
_00255_,7.6µm
_00534_,7.6µm
_00590_,7.6µm
_00763_,7.6µm
_00801_,7.6µm
_01047_,7.6µm
_01430_,7.6µm
_01701_,7.6µm
_02582_,7.6µm
_02770_,7.6µm
_02861_,7.6µm
_02933_,7.6µm
_03965_,7.6µm
_04629_,7.6µm
_05283_,7.6µm
_06851_,7.6µm
_08446_,7.6µm
_08688_,7.6µm
_08944_,7.6µm
_09270_,7.6µm
_02406_,7.59µm
_09119_,7.59µm
net4294,7.585µm
_01956_,7.58µm
_03624_,7.58µm
_04880_,7.58µm
_06320_,7.58µm
_06942_,7.58µm
_07747_,7.58µm
_07929_,7.58µm
_08718_,7.58µm
u_ibex_top.u_ibex_core.cs_registers_i.mscratch_q\[17\],7.58µm
_07857_,7.57µm
_00318_,7.56µm
_00387_,7.56µm
_00669_,7.56µm
_00935_,7.56µm
_01098_,7.56µm
_01188_,7.56µm
_01257_,7.56µm
_01459_,7.56µm
_02270_,7.56µm
_03683_,7.56µm
_04278_,7.56µm
_04463_,7.56µm
_04760_,7.56µm
_04817_,7.56µm
_05954_,7.56µm
_06962_,7.56µm
_07803_,7.56µm
_08009_,7.56µm
_08630_,7.56µm
_08846_,7.56µm
net1269,7.56µm
net2716,7.56µm
net2816,7.56µm
net3117,7.56µm
net3129,7.56µm
net3139,7.56µm
net3184,7.56µm
net3207,7.56µm
net3378,7.56µm
net3398,7.56µm
net3436,7.56µm
net3610,7.56µm
net3710,7.56µm
net3956,7.56µm
net4036,7.56µm
net4056,7.56µm
net4224,7.56µm
net4299,7.56µm
net4347,7.56µm
net4348,7.56µm
_02055_,7.54µm
_02883_,7.54µm
_03061_,7.54µm
_05570_,7.54µm
_06185_,7.54µm
_09456_,7.54µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.ctrl_fsm_cs\[5\],7.54µm
_00911_,7.525µm
_01513_,7.525µm
_01646_,7.525µm
u_ibex_top.crash_dump_o\[16\],7.525µm
_02209_,7.52µm
_02369_,7.52µm
_02842_,7.52µm
_02860_,7.52µm
_03769_,7.52µm
_04308_,7.52µm
_04325_,7.52µm
_04549_,7.52µm
_04705_,7.52µm
_04800_,7.52µm
_04853_,7.52µm
_04890_,7.52µm
_05413_,7.52µm
_05543_,7.52µm
_06086_,7.52µm
_06546_,7.52µm
_08168_,7.52µm
_08177_,7.52µm
_08491_,7.52µm
_08703_,7.52µm
_08910_,7.52µm
_08981_,7.52µm
_09604_,7.52µm
_09623_,7.52µm
_09750_,7.52µm
net3046,7.52µm
net3785,7.52µm
_02001_,7.5µm
_04543_,7.5µm
_05651_,7.5µm
_05713_,7.5µm
_07192_,7.5µm
_07586_,7.5µm
net4325,7.485µm
_00222_,7.48µm
_03013_,7.48µm
_04018_,7.48µm
_04403_,7.48µm
_04644_,7.48µm
_06238_,7.48µm
_06314_,7.48µm
_07029_,7.48µm
_07363_,7.48µm
_07471_,7.48µm
_07822_,7.48µm
_08577_,7.48µm
_02622_,7.46µm
_04910_,7.46µm
_08727_,7.46µm
_09400_,7.46µm
net2849,7.46µm
net2972,7.46µm
net3019,7.46µm
net3115,7.46µm
net3133,7.46µm
net3147,7.46µm
net3256,7.46µm
net3380,7.46µm
net3558,7.46µm
net3829,7.46µm
net4015,7.46µm
net4127,7.46µm
net4247,7.46µm
net4418,7.46µm
net4425,7.46µm
_00190_,7.445µm
_00359_,7.445µm
_01716_,7.445µm
_03100_,7.445µm
net2736,7.445µm
_02064_,7.44µm
_02536_,7.44µm
_02925_,7.44µm
_02939_,7.44µm
_03168_,7.44µm
_04169_,7.44µm
_04364_,7.44µm
_06072_,7.44µm
_06179_,7.44µm
_06905_,7.44µm
_07964_,7.44µm
_08843_,7.44µm
_09034_,7.44µm
_09244_,7.44µm
net2706,7.44µm
net2798,7.44µm
net3697,7.44µm
net3899,7.44µm
net4337,7.44µm
_05101_,7.43µm
_03865_,7.42µm
_03982_,7.42µm
_04769_,7.42µm
_07279_,7.42µm
_09706_,7.42µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[4\].rf_reg_q\[16\],7.42µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_numerator_q\[14\],7.42µm
net3269,7.42µm
net3374,7.42µm
net3575,7.42µm
net4288,7.42µm
_00339_,7.4µm
_01479_,7.4µm
_02126_,7.4µm
_02339_,7.4µm
_02916_,7.4µm
_03483_,7.4µm
_03514_,7.4µm
_03535_,7.4µm
_03554_,7.4µm
_03580_,7.4µm
_07970_,7.4µm
_08472_,7.4µm
_08955_,7.4µm
_09147_,7.4µm
_09313_,7.4µm
_09351_,7.4µm
data_we_o,7.39µm
_00629_,7.385µm
_01125_,7.38µm
_03739_,7.38µm
_04211_,7.38µm
_04899_,7.38µm
_06189_,7.38µm
_06272_,7.38µm
_09497_,7.38µm
_09104_,7.37µm
_06290_,7.36µm
net2754,7.36µm
net3513,7.36µm
net3624,7.36µm
net3643,7.36µm
net3809,7.36µm
net3959,7.36µm
net4280,7.36µm
net4289,7.36µm
net4369,7.36µm
_03682_,7.35µm
_04796_,7.35µm
_00994_,7.34µm
_03142_,7.34µm
_05216_,7.34µm
_05405_,7.34µm
_07509_,7.34µm
_09689_,7.34µm
net2899,7.34µm
net2951,7.34µm
net3336,7.34µm
net3800,7.34µm
net3853,7.34µm
_06097_,7.335µm
_09782_,7.33µm
_07659_,7.325µm
_02638_,7.32µm
_02754_,7.32µm
_02912_,7.32µm
_03783_,7.32µm
_03792_,7.32µm
_04186_,7.32µm
_04688_,7.32µm
_04812_,7.32µm
_05015_,7.32µm
_08023_,7.32µm
_08707_,7.32µm
_09306_,7.32µm
net2852,7.32µm
_00253_,7.3µm
_00447_,7.3µm
_00584_,7.3µm
_00626_,7.3µm
_00700_,7.3µm
_00873_,7.3µm
_02738_,7.3µm
_04961_,7.3µm
_07229_,7.3µm
_09176_,7.3µm
net2964,7.3µm
net3880,7.3µm
_00882_,7.285µm
_01694_,7.285µm
_01545_,7.28µm
_02591_,7.28µm
_02656_,7.28µm
_04969_,7.28µm
_05559_,7.28µm
_05862_,7.28µm
_07700_,7.28µm
_08479_,7.28µm
_08898_,7.28µm
_09017_,7.28µm
_09770_,7.28µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch0_q\[17\],7.28µm
_01759_,7.275µm
_00225_,7.26µm
_00244_,7.26µm
_00277_,7.26µm
_00311_,7.26µm
_00320_,7.26µm
_00366_,7.26µm
_00441_,7.26µm
_00520_,7.26µm
_01079_,7.26µm
_01361_,7.26µm
_02216_,7.25µm
_02613_,7.24µm
_03567_,7.24µm
_03912_,7.24µm
_06411_,7.24µm
_07454_,7.24µm
_07891_,7.24µm
_08069_,7.24µm
_09175_,7.24µm
_09815_,7.24µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_numerator_q\[13\],7.24µm
net3130,7.24µm
net3202,7.24µm
net3650,7.24µm
net4373,7.24µm
_09247_,7.225µm
_00243_,7.22µm
_00439_,7.22µm
_00608_,7.22µm
_00947_,7.22µm
_00987_,7.22µm
_01204_,7.22µm
_01740_,7.22µm
_02829_,7.22µm
_02888_,7.22µm
_03583_,7.22µm
_03693_,7.22µm
_06200_,7.22µm
_07968_,7.22µm
_08052_,7.22µm
_08820_,7.22µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.instr_compressed_i\[12\],7.22µm
net2734,7.22µm
net3017,7.22µm
net3716,7.22µm
net3803,7.22µm
net3991,7.22µm
net4175,7.22µm
net4263,7.22µm
net4271,7.22µm
_04195_,7.21µm
_02095_,7.2µm
_02714_,7.2µm
_03635_,7.2µm
_06035_,7.2µm
_06790_,7.2µm
_07993_,7.2µm
_08297_,7.2µm
_08742_,7.2µm
_09331_,7.2µm
_09810_,7.2µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_numerator_q\[9\],7.2µm
_00025_,7.18µm
_00114_,7.18µm
_00119_,7.18µm
_00334_,7.18µm
_00454_,7.18µm
_00508_,7.18µm
_00511_,7.18µm
_00735_,7.18µm
_00777_,7.18µm
_00827_,7.18µm
_00834_,7.18µm
_00845_,7.18µm
_00979_,7.18µm
_01150_,7.18µm
_01456_,7.18µm
_01524_,7.18µm
_01698_,7.18µm
_01932_,7.18µm
_03121_,7.18µm
_04152_,7.18µm
_04735_,7.18µm
_05133_,7.18µm
_05230_,7.18µm
_06786_,7.18µm
_07111_,7.18µm
_07450_,7.18µm
_07507_,7.18µm
_07783_,7.18µm
_07845_,7.18µm
_09513_,7.18µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[2\].rf_reg_q\[12\],7.18µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch0_q\[6\],7.18µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.err_q\[2\],7.18µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[68\],7.18µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[87\],7.18µm
net2874,7.18µm
net3107,7.18µm
net3971,7.18µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch1_q\[12\],7.165µm
_00951_,7.16µm
_01484_,7.16µm
_02132_,7.16µm
_02935_,7.16µm
_08084_,7.16µm
_08461_,7.16µm
u_ibex_top.u_ibex_core.cs_registers_i.mscratch_q\[1\],7.16µm
_03081_,7.14µm
_03645_,7.14µm
_03763_,7.14µm
_06085_,7.14µm
_07796_,7.14µm
_08893_,7.13µm
_01938_,7.12µm
_05109_,7.12µm
_05576_,7.12µm
_05706_,7.12µm
_07772_,7.12µm
net2893,7.12µm
net2907,7.12µm
_05339_,7.115µm
_02447_,7.11µm
_01780_,7.105µm
_08501_,7.105µm
_00664_,7.1µm
_00841_,7.1µm
_01133_,7.1µm
_01342_,7.1µm
_03500_,7.1µm
_03608_,7.1µm
_03929_,7.1µm
_04087_,7.1µm
_04340_,7.1µm
_05923_,7.1µm
_07095_,7.1µm
_08226_,7.1µm
_08517_,7.1µm
_08760_,7.1µm
_09252_,7.1µm
_09506_,7.1µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch0_q\[21\],7.1µm
net257,7.1µm
net2845,7.1µm
net2930,7.1µm
net3037,7.1µm
net3350,7.1µm
net3400,7.1µm
net3555,7.1µm
net3601,7.1µm
net3806,7.1µm
net3903,7.1µm
net4204,7.1µm
_04268_,7.095µm
_06070_,7.085µm
_01043_,7.08µm
_01086_,7.08µm
_09460_,7.08µm
_09700_,7.08µm
_00106_,7.06µm
_00240_,7.06µm
_00594_,7.06µm
_00766_,7.06µm
_01945_,7.06µm
_02016_,7.06µm
_02131_,7.06µm
_02717_,7.06µm
_03513_,7.06µm
_03568_,7.06µm
_03573_,7.06µm
_03728_,7.06µm
_04711_,7.06µm
_04754_,7.06µm
_04901_,7.06µm
_05178_,7.06µm
_05254_,7.06µm
_05269_,7.06µm
_05388_,7.06µm
_05399_,7.06µm
_05485_,7.06µm
_05738_,7.06µm
_05801_,7.06µm
_05852_,7.06µm
_06148_,7.06µm
_06271_,7.06µm
_06910_,7.06µm
_07231_,7.06µm
_07506_,7.06µm
_07661_,7.06µm
_07885_,7.06µm
_07979_,7.06µm
_09129_,7.06µm
_09151_,7.06µm
_09450_,7.06µm
_09557_,7.06µm
_09662_,7.06µm
_09758_,7.06µm
net3850,7.06µm
net4071,7.06µm
net4276,7.06µm
data_addr_o[11],7.05µm
data_addr_o[12],7.05µm
data_addr_o[15],7.05µm
data_addr_o[16],7.05µm
data_addr_o[19],7.05µm
data_addr_o[20],7.05µm
data_addr_o[23],7.05µm
data_addr_o[24],7.05µm
data_addr_o[27],7.05µm
data_addr_o[28],7.05µm
data_addr_o[31],7.05µm
data_addr_o[4],7.05µm
data_addr_o[7],7.05µm
data_addr_o[8],7.05µm
data_be_o[0],7.05µm
data_req_o,7.05µm
data_wdata_o[0],7.05µm
data_wdata_o[12],7.05µm
data_wdata_o[15],7.05µm
data_wdata_o[16],7.05µm
data_wdata_o[19],7.05µm
data_wdata_o[20],7.05µm
data_wdata_o[23],7.05µm
data_wdata_o[24],7.05µm
data_wdata_o[31],7.05µm
data_wdata_o[4],7.05µm
data_wdata_o[7],7.05µm
data_wdata_o[8],7.05µm
_02508_,7.04µm
_02816_,7.04µm
_03817_,7.04µm
_04855_,7.04µm
_05520_,7.04µm
_06603_,7.04µm
_07332_,7.04µm
_08754_,7.035µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch1_q\[8\],7.035µm
_00630_,7.025µm
_01627_,7.025µm
_05572_,7µm
_07748_,7µm
_08608_,7µm
net2731,7µm
net2839,7µm
net2973,7µm
net3022,7µm
net3023,7µm
net3029,7µm
net3087,7µm
net3192,7µm
net3205,7µm
net3492,7µm
net3545,7µm
net3562,7µm
net3617,7µm
net3619,7µm
net3641,7µm
net3683,7µm
net3886,7µm
net3904,7µm
net3979,7µm
net4125,7µm
net4191,7µm
net4219,7µm
net4283,7µm
_00040_,6.98µm
_01096_,6.98µm
_02397_,6.98µm
_02731_,6.98µm
_03012_,6.98µm
_03787_,6.98µm
_04816_,6.98µm
_07935_,6.98µm
_08586_,6.98µm
_08772_,6.98µm
_09329_,6.98µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_epc_q\[13\],6.98µm
u_ibex_top.u_ibex_core.id_stage_i.branch_jump_set_done_q,6.98µm
net1080,6.98µm
net3281,6.98µm
net3291,6.98µm
net3688,6.98µm
net3779,6.98µm
net3935,6.98µm
_06996_,6.975µm
_01786_,6.96µm
_01822_,6.96µm
_02049_,6.96µm
_05021_,6.96µm
_05714_,6.96µm
_05791_,6.96µm
_09066_,6.96µm
_09505_,6.96µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[10\],6.96µm
net3766,6.96µm
net3843,6.96µm
net4295,6.96µm
net4300,6.96µm
_07724_,6.945µm
_00524_,6.94µm
_00842_,6.94µm
_00910_,6.94µm
_00982_,6.94µm
_02121_,6.94µm
_02188_,6.94µm
_02310_,6.94µm
_03221_,6.94µm
_05473_,6.94µm
_05595_,6.94µm
_06023_,6.94µm
_06321_,6.94µm
_08006_,6.94µm
_08066_,6.94µm
_08552_,6.94µm
_09359_,6.94µm
_09694_,6.94µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[0\],6.94µm
_00892_,6.925µm
_03874_,6.92µm
_05587_,6.92µm
_05729_,6.92µm
_05957_,6.92µm
_07101_,6.92µm
net3114,6.92µm
net3671,6.92µm
net4064,6.92µm
_09203_,6.91µm
_02679_,6.9µm
_04066_,6.9µm
_04674_,6.9µm
_04989_,6.9µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[2\],6.9µm
net3151,6.9µm
net3285,6.9µm
net3288,6.9µm
net3347,6.9µm
net3441,6.9µm
net3442,6.9µm
net3477,6.9µm
net3543,6.9µm
net3733,6.9µm
net3763,6.9µm
net3906,6.9µm
net3919,6.9µm
net4060,6.9µm
net4090,6.9µm
net4173,6.9µm
net4202,6.9µm
net4334,6.9µm
_01761_,6.885µm
_06174_,6.885µm
net2851,6.885µm
_00543_,6.88µm
_00946_,6.88µm
_01118_,6.88µm
_01122_,6.88µm
_01148_,6.88µm
_02465_,6.88µm
_04582_,6.88µm
u_ibex_top.u_ibex_core.cs_registers_i.mscratch_q\[13\],6.88µm
net3241,6.88µm
net3407,6.88µm
net3438,6.88µm
net3462,6.88µm
net3813,6.88µm
_08131_,6.875µm
_05654_,6.87µm
_08035_,6.87µm
net2676,6.87µm
_00784_,6.865µm
_00502_,6.86µm
_00666_,6.86µm
_02815_,6.86µm
_03510_,6.86µm
_05838_,6.86µm
_07581_,6.86µm
_07794_,6.86µm
_08930_,6.86µm
_08968_,6.86µm
net3831,6.86µm
net4142,6.86µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[8\],6.855µm
instr_rdata_i[22],6.85µm
instr_rdata_i[25],6.85µm
_01757_,6.845µm
_00154_,6.84µm
_00851_,6.84µm
_01163_,6.84µm
_01238_,6.84µm
_01267_,6.84µm
_01297_,6.84µm
_02548_,6.84µm
_02584_,6.84µm
_04248_,6.84µm
_07513_,6.84µm
u_ibex_top.u_ibex_core.cs_registers_i.mscratch_q\[0\],6.84µm
net1067,6.84µm
_01230_,6.82µm
_01604_,6.82µm
_03474_,6.82µm
_05658_,6.82µm
_07584_,6.82µm
_08442_,6.82µm
_08669_,6.82µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.ctrl_fsm_cs\[3\],6.82µm
_08389_,6.81µm
_01700_,6.805µm
_00197_,6.8µm
_00331_,6.8µm
_00563_,6.8µm
_07580_,6.8µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.rdata_outstanding_s\[1\],6.8µm
net2989,6.8µm
_02275_,6.78µm
_02919_,6.78µm
_04447_,6.78µm
_04539_,6.78µm
_05012_,6.78µm
_06569_,6.78µm
_08525_,6.78µm
net3053,6.78µm
net3660,6.78µm
_03550_,6.77µm
_00162_,6.76µm
_00235_,6.76µm
_00537_,6.76µm
_00641_,6.76µm
_00894_,6.76µm
_00992_,6.76µm
_01146_,6.76µm
_01178_,6.76µm
_01218_,6.76µm
_01443_,6.76µm
_01486_,6.76µm
_02229_,6.76µm
_02517_,6.76µm
_02834_,6.76µm
_03319_,6.76µm
_04687_,6.76µm
_05077_,6.76µm
_05167_,6.76µm
_05403_,6.76µm
_05788_,6.76µm
_06157_,6.76µm
_06835_,6.76µm
_07200_,6.76µm
_07718_,6.76µm
_08008_,6.76µm
_08386_,6.76µm
_08485_,6.76µm
_09445_,6.76µm
u_ibex_top.u_ibex_core.id_stage_i.controller_i.do_single_step_q,6.76µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.stored_addr_q\[25\],6.76µm
u_ibex_top.u_ibex_core.load_store_unit_i.rdata_q\[10\],6.76µm
net2775,6.76µm
net3059,6.76µm
net3060,6.76µm
net3177,6.76µm
net3474,6.76µm
net3547,6.76µm
net3720,6.76µm
net3736,6.76µm
net4158,6.76µm
net4228,6.76µm
_04533_,6.75µm
_01546_,6.74µm
_02745_,6.74µm
_08805_,6.74µm
_09684_,6.74µm
_00116_,6.72µm
_00209_,6.72µm
_00316_,6.72µm
_00662_,6.72µm
_01170_,6.72µm
_01311_,6.72µm
_01418_,6.72µm
_01451_,6.72µm
_01910_,6.72µm
_02063_,6.72µm
_02184_,6.72µm
_02659_,6.72µm
_03322_,6.72µm
_03779_,6.72µm
_04269_,6.72µm
_05293_,6.72µm
_05656_,6.72µm
_06217_,6.72µm
_06678_,6.72µm
_07287_,6.72µm
_07511_,6.72µm
_08061_,6.72µm
_08133_,6.72µm
_08349_,6.72µm
_08449_,6.72µm
_08771_,6.72µm
_09443_,6.72µm
_09738_,6.72µm
u_ibex_top.gen_regfile_ff.register_file_i.g_plain_rf.g_rf_flops\[15\].rf_reg_q\[11\],6.72µm
u_ibex_top.u_ibex_core.cs_registers_i.debug_cause_i\[2\],6.72µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.branch_discard_s\[1\],6.72µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.stored_addr_q\[5\],6.72µm
_04381_,6.715µm
_00625_,6.7µm
_00786_,6.7µm
_01726_,6.7µm
_02819_,6.7µm
_06288_,6.7µm
_08380_,6.7µm
_09163_,6.7µm
_09530_,6.69µm
_06194_,6.665µm
_02000_,6.66µm
_02160_,6.66µm
_02345_,6.66µm
_02435_,6.66µm
_04043_,6.66µm
_05289_,6.66µm
_05527_,6.66µm
_05720_,6.66µm
_06589_,6.66µm
u_ibex_top.crash_dump_o\[23\],6.66µm
u_ibex_top.u_ibex_core.cs_registers_i.mscratch_q\[19\],6.66µm
_01686_,6.645µm
_08741_,6.645µm
_09051_,6.645µm
_00032_,6.64µm
_00202_,6.64µm
_00965_,6.64µm
_01724_,6.64µm
_02100_,6.64µm
_02410_,6.64µm
_03790_,6.64µm
_03880_,6.64µm
_04982_,6.64µm
_05123_,6.64µm
_05904_,6.64µm
_06090_,6.64µm
_06475_,6.64µm
_06547_,6.64µm
_07760_,6.64µm
_07992_,6.64µm
_08161_,6.64µm
_08184_,6.64µm
_08494_,6.64µm
_08801_,6.64µm
_09214_,6.64µm
_09246_,6.64µm
_09292_,6.64µm
_09370_,6.64µm
_09523_,6.64µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[88\],6.64µm
net3452,6.64µm
net3890,6.64µm
net4285,6.64µm
_08095_,6.63µm
_01652_,6.625µm
_00071_,6.62µm
_00180_,6.62µm
_00302_,6.62µm
_01252_,6.62µm
_04954_,6.62µm
_09613_,6.62µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[58\],6.62µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.stored_addr_q\[27\],6.62µm
_00493_,6.605µm
_00755_,6.605µm
_00906_,6.605µm
_01280_,6.605µm
_05273_,6.605µm
_00018_,6.6µm
_00104_,6.6µm
_01588_,6.6µm
_01933_,6.6µm
_02067_,6.6µm
_02211_,6.6µm
_02390_,6.6µm
_02605_,6.6µm
_02687_,6.6µm
_02750_,6.6µm
_02826_,6.6µm
_03548_,6.6µm
_04555_,6.6µm
_04923_,6.6µm
_04924_,6.6µm
_05000_,6.6µm
_05598_,6.6µm
_05604_,6.6µm
_06211_,6.6µm
_06429_,6.6µm
_06532_,6.6µm
_07011_,6.6µm
_07136_,6.6µm
_07285_,6.6µm
_07390_,6.6µm
_07722_,6.6µm
_08932_,6.6µm
_09124_,6.6µm
_09468_,6.6µm
_09472_,6.6µm
u_ibex_top.crash_dump_o\[3\],6.6µm
u_ibex_top.u_ibex_core.cs_registers_i.dscratch1_q\[18\],6.6µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_cause_q\[2\],6.6µm
net4360,6.6µm
_02946_,6.59µm
_02609_,6.58µm
_03050_,6.58µm
_03791_,6.58µm
_05460_,6.58µm
_06985_,6.58µm
_07291_,6.58µm
_07577_,6.58µm
_08759_,6.58µm
_00709_,6.565µm
_03463_,6.54µm
_06156_,6.54µm
_07481_,6.54µm
_07516_,6.54µm
_07538_,6.54µm
net2752,6.54µm
net2803,6.54µm
net2953,6.54µm
net2962,6.54µm
net2966,6.54µm
net3021,6.54µm
net3065,6.54µm
net3251,6.54µm
net3268,6.54µm
net3292,6.54µm
net3371,6.54µm
net3458,6.54µm
net3463,6.54µm
net3486,6.54µm
net3535,6.54µm
net3584,6.54µm
net3653,6.54µm
net3689,6.54µm
net3696,6.54µm
net3905,6.54µm
net3948,6.54µm
net4083,6.54µm
net4119,6.54µm
net4148,6.54µm
net4278,6.54µm
net4286,6.54µm
net4305,6.54µm
_04228_,6.53µm
_09049_,6.53µm
net4310,6.525µm
_02176_,6.52µm
_03670_,6.52µm
_03832_,6.52µm
_04701_,6.52µm
_04909_,6.52µm
_06605_,6.52µm
_06880_,6.52µm
_07351_,6.52µm
_08027_,6.52µm
_08287_,6.52µm
_09646_,6.52µm
u_ibex_top.u_ibex_core.cs_registers_i.mstack_epc_q\[12\],6.52µm
net2763,6.52µm
net3457,6.52µm
net4183,6.52µm
_03900_,6.5µm
_06202_,6.5µm
net3611,6.5µm
_07825_,6.485µm
_00144_,6.48µm
_00151_,6.48µm
_00399_,6.48µm
_00404_,6.48µm
_00618_,6.48µm
_00932_,6.48µm
_00955_,6.48µm
_02358_,6.48µm
_02732_,6.48µm
_03443_,6.48µm
_03689_,6.48µm
_04627_,6.48µm
_05943_,6.48µm
_06586_,6.48µm
_06614_,6.48µm
_07190_,6.48µm
_08369_,6.48µm
_08463_,6.48µm
_08939_,6.48µm
_09596_,6.48µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[15\],6.48µm
net2819,6.48µm
net3343,6.48µm
net3387,6.48µm
net3883,6.48µm
_05593_,6.475µm
_01735_,6.465µm
_05999_,6.46µm
_03922_,6.44µm
_05895_,6.44µm
_06718_,6.44µm
net2881,6.44µm
net2882,6.44µm
net2884,6.44µm
net2886,6.44µm
net2890,6.44µm
net2892,6.44µm
net2896,6.44µm
net2916,6.44µm
net2933,6.44µm
net3016,6.44µm
net3113,6.44µm
net3203,6.44µm
net3385,6.44µm
net3408,6.44µm
net3412,6.44µm
net3532,6.44µm
net3554,6.44µm
net3663,6.44µm
net3750,6.44µm
net3795,6.44µm
net3805,6.44µm
net3821,6.44µm
net3832,6.44µm
net3838,6.44µm
net3968,6.44µm
net3976,6.44µm
net4024,6.44µm
net4105,6.44µm
net4140,6.44µm
net4174,6.44µm
net4201,6.44µm
net4214,6.44µm
net4324,6.44µm
net4342,6.44µm
net4356,6.44µm
net4380,6.44µm
net4387,6.44µm
net4388,6.44µm
_00349_,6.425µm
_01788_,6.425µm
_00401_,6.42µm
_00740_,6.42µm
_00742_,6.42µm
_00772_,6.42µm
_01054_,6.42µm
_01344_,6.42µm
_01351_,6.42µm
_02668_,6.42µm
_03598_,6.42µm
_05906_,6.42µm
_06002_,6.42µm
net2920,6.42µm
net2986,6.42µm
net2998,6.42µm
net3632,6.42µm
net3755,6.42µm
net3854,6.42µm
_05740_,6.405µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[9\],6.405µm
_02137_,6.4µm
_03077_,6.4µm
_03549_,6.4µm
_04318_,6.4µm
_06285_,6.4µm
_07373_,6.4µm
_08377_,6.4µm
_08680_,6.4µm
_08808_,6.4µm
_09658_,6.4µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.rdata_q\[52\],6.4µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.fifo_i.valid_d\[1\],6.4µm
u_ibex_top.u_ibex_core.if_stage_i.gen_prefetch_buffer.prefetch_buffer_i.stored_addr_q\[30\],6.4µm
_00059_,6.38µm
_00097_,6.38µm
_00170_,6.38µm
_00418_,6.38µm
_00445_,6.38µm
_00450_,6.38µm
_00509_,6.38µm
_00576_,6.38µm
_00605_,6.38µm
_00774_,6.38µm
_00937_,6.38µm
_01495_,6.38µm
_01506_,6.38µm
_01530_,6.38µm
_01552_,6.38µm
_02318_,6.38µm
_04528_,6.38µm
_05465_,6.38µm
_07267_,6.38µm
_08993_,6.38µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[25\],6.38µm
net2956,6.38µm
net3390,6.38µm
_01585_,6.36µm
_02512_,6.36µm
_02683_,6.36µm
_05141_,6.36µm
_05154_,6.36µm
_05617_,6.36µm
_06779_,6.36µm
_08130_,6.36µm
_09725_,6.36µm
u_ibex_top.u_ibex_core.cs_registers_i.mscratch_q\[6\],6.36µm
u_ibex_top.u_ibex_core.ex_block_i.gen_multdiv_fast.multdiv_i.op_quotient_q\[30\],6.36µm
_00198_,6.32µm
_00210_,6.32µm
_00405_,6.32µm
_00556_,6.32µm
_01072_,6.32µm
