net,length_um
u_ibex_top.u_ibex_core.alu_adder_result_ex\[18\],275.36µm
net318,275.18µm
net1262,275.05µm
_03169_,274.945µm
net711,274.94µm
net619,274.925µm
net1698,274.855µm
_07775_,274.76µm
net1589,274.74µm
net1325,274.7µm
net1456,274.63µm
net2695,274.6µm
net1216,274.235µm
net1743,274.155µm
net496,274.09µm
net364,274.04µm
net1638,273.98µm
net251,273.92µm
net2156,273.86µm
net673,273.67µm
net1241,273.62µm
_03163_,273.365µm
net651,273.32µm
net575,272.81µm
_04772_,272.53µm
net1296,272.38µm
net819,272.36µm
net1157,272.24µm
net1814,272.12µm
_03150_,272.1µm
net320,271.82µm
net1537,271.77µm
_07100_,271.63µm
_06351_,271.59µm
clknet_5_3__leaf_u_ibex_top.clk,271.58µm
net703,271.5µm
net2128,271.495µm
clknet_5_5__leaf_u_ibex_top.clk,271.46µm
net325,271.32µm
net788,271.15µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[58\],271.11µm
net2295,271.03µm
_08811_,270.98µm
net714,270.96µm
net1690,270.805µm
clknet_5_22__leaf_u_ibex_top.clk,270.72µm
net1957,270.695µm
net1640,270.66µm
net1422,270.57µm
net1609,270.44µm
net1636,270.41µm
net686,270.28µm
net1795,270.13µm
net1825,270.06µm
_07331_,269.97µm
net2176,269.97µm
_04878_,269.42µm
_09190_,269.38µm
net1648,268.935µm
net1242,268.8µm
net654,268.73µm
net1668,268.39µm
net794,268.31µm
net1468,268.005µm
net590,267.78µm
_07554_,267.7µm
net1112,267.7µm
net1983,267.4µm
net1722,267.24µm
_09507_,267.23µm
net1151,267.21µm
net1388,267.2µm
net1214,267.1µm
net2150,267µm
_02978_,266.96µm
net2123,266.95µm
net1445,266.74µm
net690,266.38µm
net798,266.32µm
net280,266.3µm
net1341,266.245µm
net1672,266.14µm
_08319_,266µm
_07124_,265.7µm
net2004,265.01µm
net1830,264.84µm
clknet_leaf_205_u_ibex_top.clk,264.84µm
_02569_,264.83µm
net1716,264.8µm
net1657,264.57µm
u_ibex_top.crash_dump_o\[130\],264.48µm
_04424_,264.44µm
net1670,264.05µm
net1409,263.87µm
net670,263.77µm
net1340,263.725µm
_05796_,263.56µm
net825,263.36µm
net1841,263.32µm
net646,263.24µm
_07138_,263.09µm
_06801_,263.05µm
net871,263.02µm
net2096,262.965µm
