Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_265_1477,VPWR,li1,687.7000,731.6800,1.799978
FILLER_265_1465,VPWR,li1,682.1800,731.6800,1.799978
FILLER_265_1453,VPWR,li1,674.5900,731.6800,1.799979
FILLER_265_1413,VPWR,li1,655.9600,731.6800,1.799983
FILLER_265_1401,VPWR,li1,652.7400,731.6800,1.799984
FILLER_265_1396,VPWR,li1,648.6000,731.6800,1.799985
FILLER_265_1377,VPWR,li1,639.4000,731.6800,1.799989
FILLER_265_1369,VPWR,li1,637.1000,731.6800,1.799990
FILLER_265_1357,VPWR,li1,632.5000,731.6800,1.799990
FILLER_265_1345,VPWR,li1,626.9800,731.6800,1.799988
FILLER_265_1343,VPWR,li1,623.5300,731.6800,1.799987
FILLER_265_1331,VPWR,li1,620.5400,731.6800,1.799986
FILLER_265_1319,VPWR,li1,615.0200,731.6800,1.799984
FILLER_265_1307,VPWR,li1,609.5000,731.6800,1.799982
FILLER_265_1297,VPWR,li1,602.6000,731.6800,1.799980
FILLER_265_1289,VPWR,li1,600.3000,731.6800,1.799979
FILLER_265_1274,VPWR,li1,592.9400,731.6800,1.799977
FILLER_265_1262,VPWR,li1,588.8000,731.6800,1.799975
FILLER_265_1245,VPWR,li1,578.4500,731.6800,1.799973
FILLER_265_1233,VPWR,li1,573.3900,731.6800,1.799973
FILLER_265_1231,VPWR,li1,572.0100,731.6800,1.799973
FILLER_265_1225,VPWR,li1,570.4000,731.6800,1.799973
FILLER_265_1213,VPWR,li1,566.2600,731.6800,1.799973
FILLER_265_1197,VPWR,li1,557.9800,731.6800,1.799973
FILLER_265_1177,VPWR,li1,547.6300,731.6800,1.799974
FILLER_265_1175,VPWR,li1,546.2500,731.6800,1.799975
FILLER_265_1171,VPWR,li1,545.1000,731.6800,1.799975
FILLER_265_1159,VPWR,li1,541.4200,731.6800,1.799975
FILLER_265_1145,VPWR,li1,533.6000,731.6800,1.799977
FILLER_265_1133,VPWR,li1,529.4600,731.6800,1.799978
FILLER_265_1121,VPWR,li1,523.9400,731.6800,1.799979
FILLER_265_1119,VPWR,li1,520.4900,731.6800,1.799980
FILLER_265_1113,VPWR,li1,518.8800,731.6800,1.799980
FILLER_265_1101,VPWR,li1,514.7400,731.6800,1.799981
FILLER_265_1089,VPWR,li1,509.2200,731.6800,1.799983
FILLER_265_1077,VPWR,li1,503.7000,731.6800,1.799984
FILLER_265_1065,VPWR,li1,498.1800,731.6800,1.799985
FILLER_265_1057,VPWR,li1,491.9700,731.6800,1.799987
FILLER_265_1042,VPWR,li1,486.2200,731.6800,1.799988
FILLER_265_1030,VPWR,li1,482.0800,731.6800,1.799990
FILLER_265_1018,VPWR,li1,476.5600,731.6800,1.799987
FILLER_265_1009,VPWR,li1,469.8900,731.6800,1.799983
FILLER_265_1007,VPWR,li1,468.9700,731.6800,1.799982
FILLER_265_1001,VPWR,li1,467.3600,731.6800,1.799982
FILLER_265_989,VPWR,li1,463.2200,731.6800,1.799981
FILLER_265_977,VPWR,li1,457.7000,731.6800,1.799979
FILLER_265_965,VPWR,li1,452.1800,731.6800,1.799977
FILLER_265_953,VPWR,li1,446.6600,731.6800,1.799974
FILLER_265_948,VPWR,li1,442.5200,731.6800,1.799974
FILLER_265_939,VPWR,li1,437.6900,731.6800,1.799973
FILLER_265_921,VPWR,li1,431.9400,731.6800,1.799972
FILLER_265_909,VPWR,li1,426.4200,731.6800,1.799971
FILLER_265_897,VPWR,li1,420.9000,731.6800,1.799971
FILLER_265_895,VPWR,li1,417.4500,731.6800,1.799970
FILLER_265_891,VPWR,li1,416.3000,731.6800,1.799970
FILLER_265_879,VPWR,li1,412.6200,731.6800,1.799970
FILLER_265_853,VPWR,li1,398.1300,731.6800,1.799969
FILLER_265_841,VPWR,li1,395.1400,731.6800,1.799969
FILLER_265_839,VPWR,li1,391.6900,731.6800,1.799969
FILLER_265_833,VPWR,li1,390.0800,731.6800,1.799969
FILLER_265_818,VPWR,li1,382.4900,731.6800,1.799970
FILLER_265_785,VPWR,li1,369.3800,731.6800,1.799972
FILLER_265_783,VPWR,li1,365.9300,731.6800,1.799974
FILLER_265_779,VPWR,li1,364.7800,731.6800,1.799974
FILLER_265_747,VPWR,li1,349.8300,731.6800,1.799979
FILLER_265_735,VPWR,li1,346.3800,731.6800,1.799981
FILLER_265_726,VPWR,li1,339.9400,731.6800,1.799984
FILLER_265_714,VPWR,li1,334.8800,731.6800,1.799987
FILLER_265_685,VPWR,li1,322.4600,731.6800,1.799990
FILLER_265_673,VPWR,li1,317.8600,731.6800,1.799990
FILLER_265_671,VPWR,li1,314.4100,731.6800,1.799989
FILLER_265_659,VPWR,li1,311.4200,731.6800,1.799989
FILLER_265_649,VPWR,li1,304.5200,731.6800,1.799990
FILLER_265_641,VPWR,li1,302.2200,731.6800,1.799990
FILLER_265_629,VPWR,li1,297.6200,731.6800,1.799990
FILLER_265_617,VPWR,li1,292.1000,731.6800,1.799990
FILLER_265_615,VPWR,li1,288.6500,731.6800,1.799991
FILLER_265_609,VPWR,li1,287.0400,731.6800,1.799991
FILLER_265_597,VPWR,li1,282.9000,731.6800,1.799991
FILLER_265_585,VPWR,li1,277.3800,731.6800,1.799992
FILLER_265_573,VPWR,li1,271.8600,731.6800,1.799992
FILLER_265_561,VPWR,li1,266.3400,731.6800,1.799992
FILLER_265_559,VPWR,li1,262.8900,731.6800,1.799993
FILLER_265_553,VPWR,li1,261.2800,731.6800,1.799993
FILLER_265_541,VPWR,li1,257.1400,731.6800,1.799993
FILLER_265_529,VPWR,li1,251.6200,731.6800,1.799994
FILLER_265_517,VPWR,li1,246.1000,731.6800,1.799994
FILLER_265_505,VPWR,li1,240.5800,731.6800,1.799994
FILLER_265_503,VPWR,li1,237.1300,731.6800,1.799995
FILLER_265_497,VPWR,li1,235.5200,731.6800,1.799995
FILLER_265_485,VPWR,li1,231.3800,731.6800,1.799995
FILLER_265_473,VPWR,li1,225.8600,731.6800,1.799996
FILLER_265_461,VPWR,li1,220.3400,731.6800,1.799996
FILLER_265_449,VPWR,li1,214.8200,731.6800,1.799996
FILLER_265_447,VPWR,li1,211.3700,731.6800,1.799997
FILLER_265_441,VPWR,li1,209.7600,731.6800,1.799997
FILLER_265_429,VPWR,li1,205.6200,731.6800,1.799997
FILLER_265_417,VPWR,li1,200.1000,731.6800,1.799998
FILLER_265_405,VPWR,li1,194.5800,731.6800,1.799998
FILLER_265_393,VPWR,li1,189.0600,731.6800,1.799998
FILLER_265_391,VPWR,li1,185.6100,731.6800,1.799999
FILLER_265_385,VPWR,li1,184.0000,731.6800,1.799999
FILLER_265_373,VPWR,li1,179.8600,731.6800,1.799999
FILLER_265_361,VPWR,li1,174.3400,731.6800,1.799999
FILLER_265_349,VPWR,li1,168.8200,731.6800,1.799999
FILLER_265_337,VPWR,li1,163.3000,731.6800,1.799999
FILLER_265_335,VPWR,li1,159.8500,731.6800,1.799999
FILLER_265_329,VPWR,li1,158.2400,731.6800,1.799999
FILLER_265_317,VPWR,li1,154.1000,731.6800,1.799999
FILLER_265_305,VPWR,li1,148.5800,731.6800,1.799999
FILLER_265_293,VPWR,li1,143.0600,731.6800,1.799999
FILLER_265_281,VPWR,li1,137.5400,731.6800,1.799999
